fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_attack_time_Mean,rhythm_attack_time_Std
NO,6521.453313,4.059013,0.038,0.019235
NO,6422.929997,3.983205,0.036667,0.008165
NO,7429.237072,3.978568,0.03375,0.014079
NO,6707.402191,4.033318,0.036,0.005477
NO,6308.658083,4.072729,0.035,0.007559
NO,6970.445738,4.096212,0.032857,0.017995
NO,7800.875451,4.046788,0.036,0.016733
NO,4053.949364,4.525029,0.045,0.020817
YES,3793.34306,4.46274,0.04,0.014142
NO,3714.752574,4.612114,0.045,0.021213
NO,2798.70603,4.204017,0.06,0.026458
YES,4055.558195,4.40254,0.033333,0.011547
YES,3605.622521,4.34219,0.026667,0.005774
YES,3969.731698,4.396332,0.07,0.026458
NO,2721.368308,4.233128,0.0625,0.025
YES,4246.467929,4.481482,0.02,0
YES,4089.029375,4.521657,0.035,0.01
YES,4889.680926,4.505887,0.025,0.007071
NO,2637.633827,4.412123,0.0325,0.017078
NO,4045.381258,4.532133,0.036667,0.015275
YES,3158.227235,4.621618,0.03,0.012247
YES,5997.180549,4.883697,0.04,0.02
YES,5374.803725,3.894575,0.03,0.01
YES,5752.58261,4.01623,0.035,0.007071
YES,7006.672301,4.079446,0.046667,0.011547
YES,6619.818069,4.196964,0.038,0.008367
YES,6399.284148,4.1374,0.0575,0.009574
NO,5633.058968,4.137364,0.041429,0.006901
YES,5753.226997,4.091175,0.035714,0.017182
NO,5475.602601,4.116814,0.035,0.009258
YES,6079.279393,4.136474,0.036667,0.010328
YES,7038.154359,4.1594,0.036667,0.015275
NO,5255.162595,3.963855,0.042857,0.009512
NO,6228.583267,4.084796,0.04,0.012247
YES,5581.403169,4.087422,0.033333,0.015055
NO,7192.137522,3.959793,0.025,0.012247
NO,7831.084834,3.953488,0.036,0.011402
NO,4528.24177,4.118373,0.06,0
NO,4108.553683,4.128862,0.02,0.014142
NO,3790.478146,4.108792,0.02625,0.005175
NO,3778.087268,4.094234,0.04,0.012247
YES,3952.421138,4.187696,0.025,0.021213
NO,5131.506933,4.454651,0.035,0.005774
NO,6870.187075,3.897162,0.036667,0.005774
NO,6493.171447,3.928058,0.021667,0.009832
YES,6207.647403,4.135496,0.05,0.01
YES,6029.298391,4.060523,0.0275,0.007071
NO,5767.257356,4.07509,0.034,0.016733
NO,6288.362129,4.214334,0.03,0.014142
NO,6029.817902,3.951469,0.04,0
NO,11481.79978,3.981982,0.03,0.014142
NO,6262.322892,4.170177,0.04,0
NO,6904.661085,4.17238,0.025,0.017321
NO,5949.952647,4.294309,0.04,0.008165
NO,6196.679617,4.33515,0.0325,0.017078
NO,6663.996432,4.332258,0.045,0.005774
YES,7058.089163,4.31402,0.0375,0.009574
NO,6744.96555,4.312583,0.032,0.013038
NO,6508.789881,4.340638,0.042,0.008367
NO,6501.500083,4.203458,0.032,0.013038
NO,6701.719627,4.192956,0.0425,0.009574
NO,6547.756492,4.178524,0.036,0.015166
NO,6347.25045,4.288199,0.035,0.017321
NO,6587.50815,4.258995,0.0375,0.005
YES,6834.825817,4.267008,0.036667,0.005774
NO,6629.69495,4.099927,0.031667,0.013292
NO,3378.661764,4.052795,0.028,0.004472
NO,3843.915655,4.005889,0.035,0.005477
NO,3418.92641,4.027106,0.036667,0.020817
NO,3561.65122,3.995003,0.0425,0.009574
NO,3660.70624,4.060779,0.0375,0.017078
NO,4176.400426,3.991145,0.036667,0.008165
NO,3620.471332,4.025777,0.031667,0.007528
NO,4002.812019,4.022563,0.03,0.011547
NO,3860.586621,4.011043,0.031667,0.007528
NO,3544.782958,4.015227,0.045,0.007071
NO,3381.740745,4.07683,0.045,0.007071
NO,3534.846463,4.023377,0.026667,0.012111
NO,5208.994577,4.063295,0.046667,0.015275
NO,5848.095011,4.04246,0.034,0.011402
NO,5410.218691,4.39179,0.03125,0.006409
NO,6490.479751,3.915993,0.036667,0.008165
NO,5190.699847,4.074052,0.03125,0.008345
YES,5270.040261,4.24098,0.03,0.014142
NO,6431.149713,4.131602,0.037143,0.013801
NO,5480.840115,4.000678,0.02625,0.009161
NO,5286.35768,4.071862,0.03625,0.013025
NO,6063.826159,4.006447,0.038333,0.01472
NO,6348.075815,4.202128,0.033333,0.010328
YES,6001.54984,3.830037,0.031429,0.006901
NO,5205.793132,3.886295,0.035556,0.007265
NO,5262.597739,4.276975,0.035,0.013784
NO,6109.705351,4.229423,0.031429,0.008997
NO,6539.288331,3.961741,0.035,0.015166
NO,6004.423659,4.113045,0.0425,0.012817
NO,6440.024319,4.114136,0.032857,0.009512
NO,5838.757685,4.228588,0.035,0.010488
NO,6196.76627,3.99785,0.031111,0.00928
NO,6232.802313,4.146063,0.03,0.015635
NO,5683.079529,4.131403,0.037143,0.011127
NO,5923.575687,4.018101,0.0275,0.012817
YES,6704.66375,4.179988,0.034286,0.012724
NO,5961.021147,4.097862,0.03,0.013333
NO,6114.134029,4.040101,0.038571,0.01069
YES,6133.892844,4.060054,0.0275,0.013887
NO,5968.708255,4.155128,0.035714,0.016183
NO,5837.37023,4.101877,0.041667,0.007528
NO,6612.605908,4.021057,0.0375,0.010351
YES,12705.18196,3.999696,0.035,0.017321
NO,5994.320373,3.967807,0.03625,0.014079
YES,6386.21499,4.008359,0.03,0.005774
NO,6108.971778,4.020081,0.036667,0.010328
NO,6409.269261,3.97552,0.031429,0.006901
NO,5853.761186,4.100199,0.03,0.006325
YES,6601.319617,4.045042,0.0275,0.010351
NO,6201.843916,4.114201,0.03,0.008944
NO,6179.603089,4.131517,0.036,0.008944
NO,5896.892233,3.999241,0.02875,0.008345
NO,6184.05237,4.091215,0.031429,0.01215
NO,6052.59997,4.09372,0.028333,0.01472
