@relation spectral_mfcc_Mean_12

@attribute spectral_mfcc_Mean_12 {NO,YES}
@attribute spectral_mfcc_Mean_13 numeric
@attribute spectral_mfcc_Std_1 numeric
@attribute spectral_mfcc_Std_2 numeric
@attribute spectral_mfcc_Std_3 numeric

@data
NO,-0.569365,0.346383,0.188648,0.132418
NO,-0.025438,0.250462,0.265335,0.214407
NO,0.712699,0.397137,0.256913,0.131864
NO,0.593502,0.398524,0.261643,0.165857
NO,0.614516,0.346802,0.16842,0.147647
NO,-0.173136,0.482633,0.274804,0.301758
NO,0.14126,0.393069,0.284748,0.173101
YES,0.041559,0.268405,0.182504,0.196614
YES,-0.034833,0.316533,0.16118,0.211135
NO,-0.170714,0.20951,0.232202,0.237527
NO,-0.175187,0.168968,0.158597,0.175444
YES,0.025485,0.29357,0.186773,0.257523
YES,-0.061782,0.463433,0.16086,0.175716
NO,-0.276465,0.190497,0.191805,0.247925
NO,-0.175898,0.229565,0.153477,0.194922
NO,-0.200948,0.149979,0.172609,0.109267
NO,-0.141489,0.124243,0.15057,0.157441
NO,-0.086507,0.719304,0.399984,0.296246
YES,0.243201,0.353471,0.307435,0.322894
YES,0.501523,0.417271,0.286629,0.166995
YES,0.259551,0.366034,0.340685,0.345319
NO,0.08844,0.417302,0.307082,0.183925
NO,-0.275426,0.536531,0.269653,0.265829
NO,-0.30043,0.750974,0.295426,0.217753
NO,-0.65338,0.420786,0.243176,0.152096
NO,-0.308203,0.734406,0.322724,0.264422
NO,-0.213568,0.265885,0.157256,0.140825
YES,-0.001501,0.344596,0.190518,0.167475
YES,0.055918,0.277766,0.232973,0.246371
NO,-0.030404,0.240833,0.165947,0.219993
NO,-0.019241,0.173869,0.088202,0.131796
NO,-0.135354,0.419346,0.159542,0.240239
NO,-0.215569,1.07366,0.662485,0.27577
NO,-0.133421,0.526641,0.351592,0.181949
NO,-0.27108,0.643484,0.313445,0.200339
NO,-0.223881,0.632385,0.497005,0.14067
NO,-0.186223,0.629137,0.476292,0.12563
NO,-0.157265,0.64285,0.391557,0.132117
NO,-0.180942,0.762042,0.521451,0.174079
NO,-0.077924,0.697692,0.445246,0.225491
NO,0.028474,0.423729,0.320002,0.233326
NO,-0.320654,0.646707,0.393839,0.195963
NO,-0.151341,0.621126,0.377814,0.242811
NO,0.145942,0.284925,0.343504,0.222906
NO,-0.021029,0.558536,0.422642,0.192068
NO,0.095697,0.57708,0.458669,0.193614
NO,-0.065962,0.282369,0.346033,0.204322
YES,0.070245,0.409405,0.423249,0.215368
YES,0.107949,0.562886,0.382334,0.278674
YES,0.027325,0.570024,0.380412,0.286641
YES,0.123123,0.543879,0.400171,0.299998
YES,-0.011007,0.644728,0.315517,0.233126
YES,0.030765,0.586502,0.354664,0.226838
YES,0.099775,0.60269,0.378898,0.206186
NO,0.002443,0.233279,0.369712,0.127844
NO,-0.005517,0.407318,0.185904,0.175471
NO,-0.076037,0.278501,0.214271,0.220216
NO,-0.038926,0.303252,0.176056,0.136484
NO,-0.031267,0.479406,0.190584,0.139006
NO,0.015361,0.388804,0.245296,0.15788
NO,0.125631,0.228725,0.223588,0.171705
NO,0.047524,0.874551,0.545487,0.313928
YES,0.041471,0.943333,0.626513,0.436532
NO,-0.119646,1.0496,0.707092,0.420382
NO,-0.176184,0.71513,0.523566,0.334932
NO,-0.024352,0.971954,0.495916,0.302401
NO,0.09429,0.997089,0.668359,0.343064
NO,0.016665,0.867553,0.591343,0.504962
NO,-0.066972,0.784514,0.543036,0.316582
NO,0.05048,1.110862,0.488186,0.30481
NO,0.071273,1.041854,0.509617,0.326017
NO,0.014332,0.99321,0.683713,0.466357
YES,0.09087,0.790358,0.607889,0.394109
NO,0.040218,1.075088,0.381287,0.359796
YES,0.159904,0.917747,0.446804,0.238855
YES,0.035197,1.069504,0.51455,0.523915
NO,0.04001,0.717894,0.446696,0.340216
NO,0.113239,0.600473,0.137023,0.240755
YES,0.059183,0.480196,0.156808,0.22686
NO,-0.020926,0.480034,0.220985,0.265802
NO,0.007301,0.312723,0.274326,0.205633
NO,0.056885,0.612443,0.177984,0.237601
NO,0.210366,0.354449,0.220951,0.216703
NO,0.115223,0.402629,0.193051,0.216229
NO,0.222572,0.325246,0.254355,0.225028
NO,0.236278,0.566466,0.286749,0.333312
YES,0.158547,0.480994,0.192845,0.194839
YES,-0.065988,0.463155,0.272697,0.215085
NO,-0.344877,0.224287,0.29541,0.25439
NO,-0.173941,0.260069,0.226631,0.187414
NO,0.198695,0.690647,0.212698,0.160299
NO,0.192118,0.768481,0.47739,0.127892
NO,0.173813,0.596334,0.301796,0.119871
NO,0.178329,0.630943,0.316684,0.156195
NO,0.159594,0.72228,0.351589,0.101983
NO,0.224519,0.578612,0.196392,0.145446
NO,0.229536,0.859085,0.552685,0.180067
NO,0.040031,0.378979,0.431431,0.27474
NO,-0.091941,0.466835,0.693949,0.197696
NO,0.212252,0.603806,0.474058,0.28193
NO,0.308931,0.626859,0.366658,0.243469
NO,0.296724,0.656456,0.448945,0.320595
NO,0.146556,0.485994,0.440507,0.313706
NO,0.058327,0.483848,0.324587,0.178
NO,0.285333,0.615547,0.578906,0.313419
NO,-0.056488,0.433519,0.362006,0.221299
NO,0.00615,0.654478,0.716272,0.253381
YES,0.036567,0.738719,0.579017,0.367443
NO,-0.087261,0.825274,0.448801,0.312004
NO,-0.055417,0.851704,0.575361,0.364048
NO,0.049609,0.918085,0.492936,0.347014
NO,-0.047123,0.867045,0.485565,0.394852
YES,0.078999,0.832806,0.443683,0.271309
YES,-0.018685,0.87996,0.564395,0.2366
YES,-0.011592,0.747082,0.615983,0.216582
NO,0.112242,0.707551,0.602285,0.310151
YES,0.026863,0.778277,0.414386,0.24912
YES,0.072207,0.827046,0.411266,0.232998
NO,-0.007308,0.73087,0.515572,0.329571
NO,0.074431,0.636112,0.510834,0.377564
YES,0.042616,0.240258,0.193938,0.204977
YES,0.018232,0.100633,0.15933,0.1844
NO,-0.019191,0.264091,0.195548,0.135053
NO,-0.076988,0.191749,0.140846,0.1326
NO,-0.113925,0.223687,0.21093,0.229911
NO,-0.044527,0.216151,0.215222,0.170164
YES,0.044733,0.192615,0.13804,0.155308
NO,0.017415,0.135032,0.151231,0.186865
NO,-0.036827,0.232199,0.148984,0.151855
NO,-0.125619,0.198282,0.143722,0.13092
NO,-0.247611,0.214599,0.218911,0.16499
NO,-0.222962,0.25525,0.187017,0.145973
NO,-0.035086,0.424376,0.172998,0.157525
NO,0.010119,0.557462,0.328164,0.1872
NO,-0.000879,0.602231,0.282117,0.184833
NO,0.131531,0.596984,0.266602,0.164523
NO,-0.005231,0.650615,0.310832,0.250163
NO,0.148153,0.650394,0.357911,0.239125
NO,0.024185,0.546062,0.306318,0.184909
NO,0.031001,0.644131,0.3275,0.18245
NO,0.069824,0.629229,0.28464,0.22177
NO,0.023591,0.50541,0.331028,0.165932
NO,-0.000164,0.468927,0.256157,0.236909
NO,0.030727,0.274988,0.319037,0.159381
NO,-0.02714,0.552913,0.293907,0.171368
NO,0.160584,0.520772,0.335972,0.224039
NO,0.061625,0.492301,0.46422,0.176291
NO,0.109261,0.5795,0.374895,0.187242
NO,0.18989,0.372651,0.270544,0.276375
NO,0.240486,0.29728,0.223509,0.245413
NO,0.15438,0.213813,0.232472,0.252228
NO,0.152012,0.239882,0.20071,0.302201
